track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,time_signature
5EpVXKDlmJP9y5BSBwLqtZ,Run Away (Eric Lau & Kaidi Tatham Remix),Moonchild,0.781,0.449,1,-4.937,0,0.107,0.292,0.00467,0.422,0.522,92.999,209,4
79esEXlqqmq0GPz0xQSZTV,Lost In Japan,Shawn Mendes,0.713,0.738,10,-6.784,1,0.374,0.255,0,0.106,0.425,105.027,201,4
53VM4gvsYb6ONo53dV27Kt,Spread It All Around,The Hipstones,0.648,0.611,10,-8.105,0,0.0408,0.183,0.00172,0.0973,0.544,101.191,331,4
17WvqOCeq5E2nWMOvdRsvz,Nothing in the World,The Hipstones,0.557,0.532,8,-6.666,1,0.0514,0.208,0.0000246,0.0362,0.277,128.086,235,4
3O6uYNUr3xLaBlFoZnxIcM,Stop It,Johnny Sketch & The Dirty Notes,0.768,0.631,6,-6.67,1,0.0711,0.073,0.00021,0.0684,0.878,120.034,281,4
5OG8AIpj2rLoh9tNZyL6lg,Funk Forever,The Pendletons,0.85,0.634,8,-8.525,0,0.199,0.00282,0.000932,0.122,0.807,115.944,265,4
3WdXUWFdf1js00jNSpZU0U,Messenger (feat. Aaron Marshall),Sithu Aye,0.432,0.819,5,-4.648,0,0.0465,0.0000984,0.828,0.111,0.504,156.007,340,4
0d2XP7551co5Ij7TUHrne1,Without A Sound,Edison Glass,0.432,0.811,10,-4.048,0,0.0715,0.000365,0.000234,0.0686,0.544,174.949,241,4
6Oj4srr7wuNg5MEG4qWqSw,Things Ain't What They Was,Mingo Fishtrap,0.656,0.578,0,-8.235,1,0.0306,0.294,0.00178,0.533,0.737,97.001,242,4
39hnH8WdPmNT3Q3yzwC9Rg,Why You Always Hatin?,YG,0.926,0.336,0,-9.326,0,0.594,0.0392,0,0.138,0.38,92.995,197,4
6iaEL3KYwAb1cUtdOjSxNl,Don't Come To LA,YG,0.689,0.564,0,-8.604,1,0.189,0.021,0.0000423,0.472,0.107,100.002,216,4
5ZxteN0udBmAcPxzpcq6cY,A Fleeting Glance,Opeth,0.48,0.385,11,-11.465,0,0.0269,0.0525,0.0274,0.107,0.332,155.074,307,3
3oNn2Qg40BPekTa4zxpSp2,Blue in Green,Anti-Lilly & Phoniks,0.792,0.538,11,-8.654,0,0.314,0.535,0,0.122,0.761,91.992,201,4
0Oqhw691klP8oeKM3joA9g,Blue in Green,Weldon Irvine,0.65,0.948,10,-7.813,0,0.0524,0.000328,0.793,0.217,0.714,111.565,355,4
0eLvWUMEyflsaEfP6PPr1h,Blue In Green,Gretchen Parlato,0.504,0.327,1,-14.356,1,0.028,0.815,0.806,0.106,0.295,106.634,252,1
5jtSajjfhRRPozlv03Ue13,My Friend Blue,Fillmore Slim,0.75,0.578,9,-5.442,0,0.0356,0.405,0.0000537,0.046,0.622,112.352,249,3
5nSrNZnwiEu0Y9oQEeYPoM,Ahead of My Time,Anti Lilly,0.782,0.598,3,-8.459,0,0.581,0.303,0,0.098,0.896,85.825,148,4
6FrFMAGUpH6DT52Czad1RN,Stare At The Sun,Mutemath,0.46,0.72,6,-6.494,1,0.042,0.00259,0.0000109,0.372,0.647,181.92,273,3
5jz2XYi3qJC3nN62FW1PUp,Sentient (feat. Hayley Stewart),Perturbator,0.494,0.79,8,-4.165,1,0.0338,0.013,0.233,0.165,0.0398,120.006,333,4
0ZdPv45oVlh5eI9EnBCun6,Smack (feat. Ty Dolla $ign & IAMSU!),Audio Push,0.728,0.635,8,-9.068,1,0.285,0.124,0,0.701,0.56,97.011,307,4
1iMFCmdgckITIcGKcAnYji,Baptism of Fire,Sahg,0.263,0.914,9,-4.922,1,0.0555,0.00176,0,0.173,0.43,113.807,219,4
6tw4HTcqBCIvznYgJ8zmsf,The Voluptuous Panic,Born Again Floozies,0.679,0.724,10,-10.11,1,0.0855,0.0377,0.149,0.143,0.603,88.003,131,4
6or1VbOYOIjDPxJxyjZvuE,Holland,Brad Mehldau Trio,0.414,0.267,10,-17.391,0,0.0338,0.824,0.934,0.109,0.327,110.242,527,3
5xAfdl3UzWnifSOvlVJUXn,Hats Off to Harry,Maceo Parker,0.548,0.848,7,-4.735,1,0.305,0.172,0.000123,0.253,0.647,203.781,277,4
36XAzscdDbMhQrKj3GF8jp,Hide It,Groove Collective,0.469,0.909,1,-5.114,1,0.0397,0.0871,0.921,0.0779,0.675,137.32,292,4
5oCesSn1ndF0E9nQTq9xPV,Lights,The Brand New Heavies,0.764,0.566,0,-12.578,1,0.0429,0.0468,0.000305,0.0792,0.937,120.072,251,4
